life,tv
Dull,6
Exciting,2
Dull,0
Exciting,2
Dull,2
Routine,4
Routine,2
Exciting,1
Routine,5
Exciting,1
Routine,2
Routine,1
Exciting,1
Routine,4
Exciting,4
Exciting,5
Dull,10
Exciting,3
Exciting,3
Exciting,1
Routine,4
Exciting,2
Routine,3
Exciting,2
Routine,2
Routine,2
Routine,2
Dull,5
Routine,3
Routine,2
Exciting,2
Exciting,4
Exciting,2
Exciting,1
Routine,2
Exciting,2
Exciting,1
Routine,3
Exciting,2
Exciting,6
Dull,6
Routine,2
Exciting,6
Exciting,1
Dull,2
Routine,1
Exciting,1
Exciting,4
Exciting,2
Exciting,1
Routine,3
Routine,6
Routine,7
Don't know,2
Exciting,3
Exciting,4
Dull,4
Routine,6
Dull,4
Exciting,1
Routine,3
Routine,2
Routine,3
Exciting,8
Exciting,1
Routine,1
Exciting,10
Routine,1
Exciting,3
Exciting,1
Exciting,4
Routine,3
Dull,12
Routine,8
Exciting,2
Routine,6
Routine,5
Routine,1
Dull,10
Exciting,3
Exciting,3
Exciting,2
Routine,2
Exciting,2
Dull,8
Routine,4
Routine,2
Exciting,1
Exciting,5
Exciting,2
Routine,4
Routine,3
Routine,6
Routine,2
Exciting,4
Exciting,1
Exciting,0
Exciting,3
Exciting,0
Exciting,1
Routine,1
Exciting,4
Exciting,1
Exciting,4
Exciting,6
Exciting,2
Exciting,0
Routine,5
Routine,2
Routine,0
Exciting,3
Routine,5
Exciting,3
Routine,5
Exciting,4
Exciting,1
Routine,2
Routine,2
Exciting,5
Exciting,2
Routine,1
Exciting,1
Exciting,2
Exciting,2
Exciting,3
Exciting,3
Routine,4
Exciting,2
Exciting,3
Routine,4
Routine,1
Exciting,2
Routine,3
Routine,2
Exciting,4
Routine,6
Exciting,2
Exciting,1
Exciting,2
Routine,4
Routine,1
Routine,4
Exciting,1
Dull,4
Routine,1
Routine,2
Routine,2
Routine,1
Routine,2
Exciting,1
Routine,2
Routine,3
Routine,2
Exciting,3
Routine,2
Routine,3
Exciting,3
Routine,1
Exciting,1
Exciting,3
Routine,3
Routine,5
Routine,2
Routine,4
Exciting,1
Exciting,2
Exciting,2
Exciting,1
Routine,3
Exciting,1
Exciting,1
Routine,3
Routine,2
Routine,2
Exciting,2
Routine,2
Don't know,0
Routine,2
Routine,2
Exciting,2
Routine,0
Routine,3
Exciting,1
Exciting,2
Dull,1
Exciting,3
Exciting,2
Exciting,4
Routine,2
Exciting,3
Routine,4
Exciting,1
Exciting,1
Exciting,1
Exciting,1
Exciting,1
Routine,2
Exciting,1
Exciting,2
Exciting,6
Routine,4
Routine,3
Dull,7
Exciting,0
Routine,3
Exciting,3
Routine,6
Dull,10
Routine,4
Routine,8
Exciting,1
Routine,3
Exciting,2
Routine,3
Routine,3
Routine,1
Exciting,1
Exciting,5
Exciting,3
Routine,1
Routine,2
Routine,3
Exciting,3
Exciting,3
Exciting,2
Exciting,2
Routine,3
Exciting,5
Exciting,3
Routine,4
Routine,6
Routine,3
Routine,2
Routine,1
Exciting,2
Exciting,3
Exciting,4
Exciting,1
Exciting,7
Dull,3
Exciting,4
Routine,1
Exciting,1
Routine,2
Exciting,1
Exciting,1
Exciting,2
Routine,3
Exciting,1
Exciting,5
Routine,5
Routine,3
Dull,4
Exciting,4
Routine,3
Exciting,2
Exciting,6
Routine,1
Routine,2
Routine,5
Routine,1
Routine,2
Exciting,1
Routine,2
Routine,3
Exciting,1
Routine,2
Exciting,3
Routine,4
Exciting,1
Exciting,4
Routine,3
Dull,1
Exciting,2
Routine,2
Exciting,4
Exciting,2
Exciting,3
Exciting,1
Exciting,5
Routine,2
Routine,1
Routine,4
Exciting,1
Routine,1
Exciting,0
Routine,5
Routine,1
Exciting,1
Routine,8
Exciting,1
Exciting,3
Routine,2
Routine,3
Routine,7
Routine,0
Routine,1
Exciting,2
Exciting,3
Exciting,2
Exciting,2
Exciting,1
Exciting,3
Exciting,2
Routine,2
Exciting,3
Exciting,2
Exciting,2
Routine,2
Routine,3
Exciting,1
Routine,4
Exciting,4
Exciting,3
Routine,3
Routine,15
Dull,0
Exciting,0
Routine,4
Exciting,2
Exciting,7
Routine,5
Routine,10
Exciting,4
Routine,3
Dull,2
Routine,7
Routine,3
Exciting,3
Exciting,2
Routine,4
Routine,2
Exciting,2
Exciting,1
Exciting,2
Routine,2
Routine,2
Dull,8
Exciting,3
Dull,0
Exciting,1
Exciting,2
Exciting,1
Exciting,2
Exciting,5
Exciting,2
Exciting,1
Routine,3
Exciting,2
Exciting,2
Routine,4
Routine,2
Exciting,2
Routine,2
Exciting,4
Routine,2
Routine,4
Routine,1
Exciting,5
Routine,1
Routine,5
Routine,3
Exciting,1
Exciting,1
Exciting,1
Exciting,10
Exciting,2
Exciting,5
Routine,2
Routine,5
Routine,2
Routine,3
Routine,1
Routine,2
Exciting,0
Exciting,1
Routine,6
Routine,2
Exciting,4
Dull,6
Exciting,2
Routine,4
Exciting,2
Routine,3
Routine,4
Exciting,6
Exciting,1
Routine,5
Exciting,2
Routine,5
Exciting,1
Routine,8
Exciting,3
Routine,5
Dull,2
Exciting,0
Routine,1
Exciting,0
Routine,4
Routine,1
Exciting,3
Exciting,1
Dull,2
Routine,1
Routine,5
Exciting,2
Routine,5
Exciting,1
Exciting,1
Exciting,2
Exciting,1
Routine,6
Exciting,2
Exciting,1
Exciting,2
Exciting,4
Routine,4
Dull,4
Dull,2
Routine,2
Exciting,3
Exciting,2
Routine,1
Exciting,3
Exciting,0
Exciting,2
Routine,4
Routine,2
Exciting,3
Exciting,1
Routine,1
Don't know,3
Exciting,4
Exciting,3
Routine,2
Routine,10
Exciting,1
Routine,5
Routine,4
Exciting,2
Routine,4
Routine,1
Exciting,2
Routine,7
Routine,4
Routine,2
Routine,6
Routine,1
Exciting,2
Exciting,10
Routine,1
Routine,6
Exciting,4
Routine,8
Exciting,4
Routine,3
Exciting,4
Exciting,4
Exciting,3
Dull,1
Exciting,0
Exciting,1
Routine,3
Exciting,2
Exciting,3
Routine,2
Exciting,4
Exciting,3
Routine,1
Exciting,4
Routine,2
Exciting,4
Routine,6
Exciting,2
Routine,2
Exciting,3
Exciting,2
Don't know,1
Routine,1
Routine,1
Dull,3
Dull,5
Exciting,3
Routine,2
Exciting,14
Exciting,4
Routine,8
Routine,2
Exciting,1
Exciting,12
Routine,3
Routine,2
Exciting,2
Exciting,4
Exciting,8
Routine,6
Routine,2
Routine,3
Routine,2
Exciting,5
Exciting,1
Exciting,4
Routine,4
Routine,6
Exciting,5
Routine,3
Dull,4
Exciting,1
Exciting,2
Exciting,0
Routine,3
Routine,2
Routine,3
Routine,2
Exciting,1
Exciting,2
Routine,2
Exciting,1
Exciting,6
Exciting,3
Don't know,2
Exciting,3
Routine,1
Routine,1
Exciting,3
Exciting,1
Routine,4
Routine,2
Exciting,3
Routine,8
Routine,4
Exciting,1
Exciting,2
Routine,4
Exciting,1
Routine,1
Routine,3
Routine,2
Exciting,12
Routine,12
Exciting,2
Routine,1
Routine,3
Routine,2
Routine,2
Exciting,2
Routine,6
Routine,12
Routine,2
Exciting,7
Exciting,1
Exciting,3
Routine,6
Routine,3
Exciting,2
Routine,1
Routine,5
Exciting,4
Exciting,10
Routine,4
Routine,7
Routine,5
Routine,3
Routine,5
Routine,2
Exciting,3
Routine,3
Dull,4
Routine,2
Dull,3
Exciting,1
Exciting,2
Routine,4
Exciting,2
Routine,3
Exciting,3
Dull,5
Exciting,2
Exciting,2
Routine,3
Exciting,2
Routine,4
Exciting,1
Exciting,2
Don't know,8
Routine,4
Exciting,4
Routine,2
Exciting,6
Routine,2
Exciting,8
Routine,3
Exciting,5
Routine,2
Exciting,1
Exciting,3
Exciting,3
Routine,4
Exciting,4
Routine,2
Exciting,2
Routine,2
Routine,2
Dull,2
Routine,4
Exciting,3
Exciting,3
Exciting,2
Exciting,4
Routine,4
Exciting,5
Exciting,6
Exciting,3
Routine,2
Exciting,2
Exciting,3
Exciting,0
Routine,2
Exciting,14
Routine,3
Exciting,1
Routine,2
Exciting,2
Routine,3
Routine,2
Routine,7
Exciting,3
Dull,5
Routine,3
Routine,3
Exciting,1
Routine,2
Exciting,1
Exciting,1
Exciting,1
Exciting,3
Exciting,2
Routine,1
Dull,1
Exciting,2
Routine,2
Dull,8
Routine,6
Exciting,5
Exciting,2
Exciting,4
Exciting,0
Exciting,1
Exciting,1
Routine,4
Don't know,2
Dull,5
Routine,0
Don't know,2
Exciting,4
Exciting,1
Exciting,2
Routine,3
Exciting,2
Don't know,1
Routine,2
Exciting,1
Exciting,4
Routine,1
Exciting,1
Exciting,1
Routine,1
Exciting,4
Exciting,1
Exciting,5
Routine,1
Dull,4
Exciting,2
Exciting,1
Exciting,1
Routine,3
Exciting,3
Routine,2
Routine,4
Routine,4
Routine,3
Exciting,2
Exciting,2
Routine,1
Routine,2
Exciting,4
Exciting,3
Exciting,7
Exciting,2
Exciting,0
Routine,3
Exciting,1
Routine,3
Don't know,1
Exciting,1
Exciting,2
Routine,0
Exciting,2
Exciting,1
Routine,1
Exciting,2
Exciting,0
Exciting,2
Exciting,1
Routine,1
Exciting,3
Routine,2
Routine,1
Exciting,1
Exciting,1
Dull,8
Routine,3
Don't know,4
Routine,0
Exciting,1
Exciting,3
Routine,4
Exciting,2
Exciting,1
Routine,8
Routine,2
Routine,3
Routine,3
Exciting,4
Exciting,4
Exciting,2
Routine,2
Routine,6
Exciting,1
Routine,1
Routine,0
Routine,5
Routine,2
Routine,10
Exciting,0
Exciting,3
Exciting,1
Routine,1
Routine,2
Routine,4
Routine,4
Routine,5
Exciting,0
Exciting,5
Routine,4
Exciting,3
Exciting,1
Routine,2
Exciting,0
Routine,2
Exciting,1
Routine,2
Routine,2
Routine,2
Exciting,4
Exciting,5
Exciting,1
Exciting,5
Exciting,4
Routine,4
Exciting,2
Routine,5
Exciting,6
Routine,8
Routine,5
Exciting,2
Routine,2
Routine,4
Exciting,6
Dull,4
Routine,3
Dull,4
Exciting,5
Routine,2
Exciting,2
Exciting,2
Dull,4
Exciting,1
Routine,4
Routine,2
Exciting,0
Exciting,4
Exciting,4
Exciting,2
Exciting,3
Routine,6
Exciting,0
Exciting,2
Exciting,1
Routine,2
Exciting,0
Routine,5
Routine,4
Exciting,2
Routine,0
Routine,3
Routine,2
Routine,2
Exciting,0
Routine,1
Routine,1
Exciting,4
Exciting,1
Exciting,4
Exciting,3
Routine,1
Exciting,6
Routine,5
Exciting,2
Exciting,2
Exciting,1
Routine,2
Don't know,3
Routine,2
Exciting,4
Exciting,2
Routine,5
Exciting,1
Exciting,1
Exciting,10
Exciting,1
Exciting,2
Routine,2
Routine,3
Exciting,2
Exciting,24
Exciting,1
Don't know,1
Exciting,1
Exciting,2
Routine,6
Exciting,1
Routine,5
Routine,3
Exciting,3
Routine,3
Routine,1
Exciting,3
Routine,3
Exciting,2
Exciting,2
Exciting,4
Exciting,4
Exciting,4
Routine,1
Routine,8
